"","lon","lat"
"378",-122.5888686,37.9871454
"379",-69.4454689,45.253783
"380",-120.5542012,43.8041334
"381",NA,NA
"382",-90.4311169,37.7902037
"383",-43.1728965,-22.9068467
"384",-79.283984,43.771752
"385",129.0756416,35.1795543
"386",-77.1945247,41.2033216
"387",-73.087749,41.6032207
"388",-155.9969261,19.639994
"389",-77.3645653,35.6055108
"390",-72.9278835,41.308274
"391",34.851612,31.046051
"392",-82.4734787,36.2942722
"393",-84.5613355,39.3995008
"394",-85.7584557,38.2526647
"395",-94.208321,36.372231
"396",-74.0059728,40.7127753
"397",-114.7420408,44.0682019
"398",28.9783589,41.0082376
"399",-87.6297982,41.8781136
"400",-120.4364208,34.6882456
"401",NA,NA
"402",-71.0588801,42.3600825
"403",NA,NA
"404",-80.8431267,35.2270869
"405",NA,NA
"406",-80.2962555,26.007765
"407",-86.5804473,35.5174913
"408",-40.7397329,-18.9850498
"409",NA,NA
"410",-74.2090053,40.8259007
"411",-96.6397822,33.1972465
"412",NA,NA
"413",NA,NA
"414",115.728,-31.684
"415",35.243322,38.963745
"416",-80.2331036,26.1275862
"417",-76.6121893,39.2903848
"418",-122.4194155,37.7749295
"419",-70.6692655,-33.4488897
"420",-89.0928155,30.3674198
"421",-43.9352376,-19.9245018
"422",-95.6307891,31.7621153
"423",174.7633315,-36.8484597
"424",-77.0368707,38.9071923
"425",NA,NA
"426",-113.7173037,52.475399
"427",NA,NA
"428",-95.712891,37.09024
"429",-106.4850217,31.7618778
"430",-96.4527891,32.6911521
"431",-121.4943996,38.5815719
"432",-91.135302,41.8346154
"433",-85.6206317,44.7630567
"434",-98.4936282,29.4241219
"435",-84.3879824,33.7489954
"436",-84.3879824,33.7489954
"437",103.819836,1.352083
"438",-71.0588801,42.3600825
"439",-88.8442674,42.2639098
"440",NA,NA
"441",-44.3157913,-23.0058039
"442",-3.74922,40.463667
"443",NA,NA
"444",-43.3631233,-22.9616206
"445",-76.6412712,39.0457549
"446",-87.6297982,41.8781136
"447",-85.8219345,41.2272668
"448",9.0128926,42.0396042
"449",-71.0588801,42.3600825
"450",-117.4260465,47.6587802
"451",-81.0558894,29.2858129
"452",-73.8729625,40.9933913
"453",-111.9329515,33.4200638
"454",-92.3425775,42.492786
"455",-86.5861037,34.7303688
"456",-87.6297982,41.8781136
"457",36.8219462,-1.2920659
"458",NA,NA
"459",-95.3698028,29.7604267
"460",-71.9617688,41.3934144
"461",-77.0909809,38.8816208
"462",-43.4607419,-22.7561319
"463",28.9783589,41.0082376
"464",100.992541,15.870032
"465",-122.2913078,37.8271784
"466",-111.8910474,40.7607793
"467",NA,NA
"468",NA,NA
"469",-77.0909809,38.8816208
"470",-76.4735027,42.4534492
"471",-81.5157535,27.6648274
"472",-118.1937395,33.7700504
"473",-73.9617546,40.811327
"474",NA,NA
"475",-73.9441579,40.6781784
"476",72.8656144,19.0895595
"477",-73.9441579,40.6781784
"478",-82.3248262,29.6516344
"479",-81.0777078,27.0832157
"480",-43.1728965,-22.9068467
"481",-90.0715323,29.9510658
"482",NA,NA
"483",-74.0059728,40.7127753
"484",-90.1994042,38.6270025
"485",-84.3640829,33.7589188
"486",NA,NA
"487",-86.158068,39.768403
"488",-80.085059,42.1292241
"489",NA,NA
"490",NA,NA
"491",NA,NA
"492",-84.3640829,33.7589188
"493",-76.9930319,39.0398315
"494",-119.4179324,36.778261
"495",NA,NA
"496",-76.2051486,43.1012394
"497",-78.9739192,34.1268357
"498",-82.907123,40.4172871
"499",-90.3869867,38.5634635
"500",-119.6981901,34.4208305
"501",-84.3879824,33.7489954
"502",-38.6200487,-3.8855488
"503",-87.6297982,41.8781136
"504",-117.1610838,32.715738
"505",-4.251806,55.864237
"506",-77.219392,38.932307
"507",-79.9958864,40.4406248
"508",-117.1610838,32.715738
"509",4.469936,50.503887
"510",-117.8265049,33.6845673
"511",-81.4498717,37.2232316
"512",31.0220422,-29.7870389
"513",NA,NA
"514",85.5222772,25.3666172
"515",-82.907123,40.4172871
"516",2.9728359,51.2345015
"517",-74.0059728,40.7127753
"518",NA,NA
"519",-79.9958864,40.4406248
"520",-79.8711024,43.2557206
"521",-64.183316,10.431916
"522",-120.5542012,43.8041334
"523",29.1782018,41.1429436
"524",NA,NA
"525",-85.1646726,34.257038
"526",-97.7430608,30.267153
"527",-122.9888319,38.5779555
"528",NA,NA
"529",-96.6388251,35.4336454
"530",-75.1969346,39.8422093
"531",NA,NA
"532",-85.6023643,44.3148443
"533",NA,NA
"534",2.3673438,48.834056
"535",-73.9992966,40.7453369
"536",NA,NA
"537",-121.1760583,38.6779591
"538",-83.6324022,32.8406946
"539",-75.1652215,39.9525839
"540",NA,NA
"541",-95.712891,37.09024
"542",NA,NA
"543",NA,NA
"544",NA,NA
"545",-83.0221443,39.9081741
"546",-74.0059728,40.7127753
"547",-82.3248262,29.6516344
"548",-76.6121893,39.2903848
"549",-1.4988316,53.3785556
"550",-73.9441579,40.6781784
"551",-122.4194155,37.7749295
"552",-76.6121893,39.2903848
"553",-77.0368707,38.9071923
"554",NA,NA
"555",-43.3053106,-22.7862985
"556",-95.3698028,29.7604267
"557",47.9774052,29.375859
"558",-95.4612625,30.1658207
"559",-95.712891,37.09024
"560",-84.3469748,33.7405971
"561",120.9842195,14.5995124
"562",138.6007456,-34.9284989
"563",-114.0708459,51.0486151
"564",-117.6335205,34.0504967
"565",NA,NA
"566",NA,NA
"567",-96.4003069,42.4999942
"568",-77.1945247,41.2033216
"569",-97.092877,35.0077519
"570",-84.3879824,33.7489954
"571",-98.4842465,39.011902
"572",-74.694929,40.774716
"573",-120.7401385,47.7510741
"574",-79.384542,43.665329
"575",-96.6851982,40.8257625
"576",29.5339711,40.9329106
"577",NA,NA
"578",-43.1728965,-22.9068467
"579",-119.6981901,34.4208305
"580",-42.566357,-19.496916
"581",-95.3698028,29.7604267
"582",-99.4803241,27.5305671
"583",-90.0715323,29.9510658
"584",-82.9000751,32.1656221
"585",-84.2700179,37.8393332
"586",-79.0558445,35.9131996
"587",28.9004553,41.0759477
"588",-88.4153847,44.2619309
"589",-43.4018998,-22.8067006
"590",-95.3698028,29.7604267
"591",-87.851265,41.953173
"592",-112.0740373,33.4483771
"593",-117.4260465,47.6587802
"594",28.9004553,41.0759477
"595",-71.0588801,42.3600825
"596",-106.2800242,43.4113604
"597",NA,NA
"598",-122.2913078,37.8271784
"599",-83.0457538,42.331427
"600",-78.6568942,37.4315734
"601",-117.9988026,33.6594835
"602",-105.7820674,39.5500507
"603",NA,NA
"604",-81.5157535,27.6648274
"605",-95.3698028,29.7604267
"606",NA,NA
"607",-91.8318334,37.9642529
"608",NA,NA
"609",-75.5276699,38.9108325
"610",-77.0368707,38.9071923
"611",-86.158068,39.768403
"612",NA,NA
"613",NA,NA
"614",-87.6297982,41.8781136
"615",-84.3879824,33.7489954
"616",-95.3698028,29.7604267
"617",-94.6169012,38.966673
"618",-77.0368707,38.9071923
"619",NA,NA
"620",-74.5143232,40.9012101
"621",-78.4766781,38.0293059
"622",-43.1728965,-22.9068467
"623",-81.5157535,27.6648274
"624",-88.8853078,30.3960318
"625",-89.0939952,42.2711311
"626",-43.1728965,-22.9068467
"627",-95.3698028,29.7604267
"628",-85.1393513,41.079273
"629",-89.2903392,31.3271189
"630",NA,NA
"631",NA,NA
"632",-118.2436849,34.0522342
"633",-77.0368707,38.9071923
"634",-78.8783689,42.8864468
"635",NA,NA
"636",-98.4936282,29.4241219
"637",-76.1474244,43.0481221
"638",28.9004553,41.0759477
"639",-95.3698028,29.7604267
"640",-43.1728965,-22.9068467
"641",-97.1466695,31.549333
"642",-75.1652215,39.9525839
"643",-85.8649408,37.7030646
"644",-96.9491171,32.8180414
"645",NA,NA
"646",-118.3600432,34.1853462
"647",-104.8213634,38.8338816
"648",NA,NA
"649",-19.020835,64.963051
"650",NA,NA
"651",-117.935274,34.033879
"652",-82.3248262,29.6516344
"653",-114.0708459,51.0486151
"654",-43.1728965,-22.9068467
"655",32.8597419,39.9333635
"656",-123.2753839,44.5801566
"657",NA,NA
"658",-43.1728965,-22.9068467
"659",NA,NA
"660",-74.0059728,40.7127753
"661",-77.0368707,38.9071923
"662",-79.8304152,37.9969744
"663",-97.938351,29.888411
"664",NA,NA
"665",NA,NA
"666",NA,NA
"667",NA,NA
"668",-95.712891,37.09024
"669",NA,NA
"670",-105.7820674,39.5500507
"671",-85.7584557,38.2526647
"672",NA,NA
"673",-120.4357191,34.9530337
"674",-119.6981901,34.4208305
"675",-119.6981901,34.4208305
"676",NA,NA
"677",-121.3541631,36.3136201
"678",-76.8867008,40.2731911
"679",-121.7692172,37.6816468
"680",NA,NA
"681",-87.7615618,41.8929529
"682",-118.2436849,34.0522342
"683",NA,NA
"684",-111.9738304,41.223
"685",-86.158068,39.768403
"686",-85.0005215,41.9403263
"687",5.291266,52.132633
"688",-79.9958864,40.4406248
"689",-84.3879824,33.7489954
"690",NA,NA
"691",-119.6981901,34.4208305
"692",NA,NA
"693",-82.4012642,40.0581205
"694",-78.7625185,39.6528654
"695",NA,NA
"696",NA,NA
"697",-102.4107493,34.2331373
"698",-73.3035651,41.4141172
"699",-66.590149,18.220833
"700",NA,NA
"701",-95.3698028,29.7604267
"702",NA,NA
"703",100.8000051,-0.7399397
"704",NA,NA
"705",-77.0368707,38.9071923
"706",153.0251235,-27.4697707
"707",NA,NA
"708",NA,NA
"709",NA,NA
"710",-43.1728965,-22.9068467
"711",-79.5272836,43.8517618
"712",-87.6297982,41.8781136
"713",NA,NA
"714",NA,NA
"715",-72.0705982,41.4872583
"716",NA,NA
"717",NA,NA
"718",-71.0588801,42.3600825
"719",-106.4213208,31.812438
"720",NA,NA
"721",-97.6961026,26.1906306
"722",-84.5037164,38.0405837
"723",-90.3867928,43.3347053
"724",-117.1610838,32.715738
"725",-71.5723953,43.1938516
"726",103.819836,1.352083
"727",-73.087749,41.6032207
"728",NA,NA
"729",-84.1401926,34.2073196
"730",-82.907123,40.4172871
"731",-87.6297982,41.8781136
"732",-81.5157535,27.6648274
"733",NA,NA
"734",-95.3698028,29.7604267
"735",-74.0059728,40.7127753
"736",-76.4620928,38.2575517
"737",-46.6333094,-23.5505199
"738",6.0679194,43.9351691
"739",-122.4014193,37.4337342
"740",-43.1728965,-22.9068467
"741",-99.9018131,31.9685988
"742",-74.3882072,40.787878
"743",2.7580701,39.5572421
"744",-118.4003563,34.0736204
"745",-97.4844761,35.0589583
"746",NA,NA
"747",-95.712891,37.09024
"748",-84.3879824,33.7489954
"749",-77.0368707,38.9071923
"750",-74.0105948,40.7084692
"751",-122.2913078,37.8271784
"752",-81.1637245,33.836081
"753",-88.3200715,41.7605849
"754",NA,NA
"755",-73.8648268,40.8447819
"756",-48.4901968,-1.4557794
"757",-97.307347,30.097643
"758",-51.92528,-14.235004
"759",-118.2436849,34.0522342
"760",-74.0059728,40.7127753
"761",-76.3055144,40.0378755
"762",-44.1772604,-22.5408519
"763",-84.5499327,33.952602
"764",NA,NA
"765",-77.0368707,38.9071923
"766",-122.2913078,37.8271784
"767",NA,NA
"768",-115.1398296,36.1699412
"769",NA,NA
"770",4.469936,50.503887
"771",-95.712891,37.09024
"772",-77.0368707,38.9071923
"773",-94.6858998,46.729553
"774",-51.92528,-14.235004
"775",-98.2728003,30.5782446
"776",100.992541,15.870032
"777",NA,NA
"778",-85.6680863,42.9633599
"779",-76.8867008,40.2731911
"780",-79.7624177,43.7315479
"781",-95.712891,37.09024
"782",-119.4179324,36.778261
"783",-73.9712488,40.7830603
"784",38.996815,34.802075
"785",19.1310539,50.1425364
"786",-84.5037164,38.0405837
"787",-75.1652215,39.9525839
"788",-117.1610838,32.715738
"789",-76.9958149,39.5753791
"790",-86.5804473,35.5174913
"791",-77.9142683,34.3015282
"792",NA,NA
"793",-75.240071,39.9600859
"794",-118.1084392,34.0959769
"795",-85.1393513,41.079273
"796",NA,NA
"797",-80.244216,36.0998596
"798",-80.1917902,25.7616798
"799",-94.68748,38.9250212
"800",-84.5037164,38.0405837
"801",-88.2072697,40.1105875
"802",-88.019826,44.519159
"803",-96.6388833,32.912624
"804",-74.0059728,40.7127753
"805",-74.0059728,40.7127753
"806",-43.0398345,-22.6566022
"807",-96.8439894,32.8156603
"808",-73.7596911,42.7598094
"809",-99.9018131,31.9685988
"810",-84.3879824,33.7489954
"811",NA,NA
"812",-117.1610838,32.715738
"813",-84.3879824,33.7489954
"814",-95.712891,37.09024
"815",NA,NA
"816",-85.3782795,32.6454116
"817",-40.2957768,-20.2976178
"818",-74.0059728,40.7127753
"819",-81.6326234,38.3498195
"820",-105.7820674,39.5500507
"821",-115.1398296,36.1699412
"822",-82.9000751,32.1656221
"823",-73.91826,40.838337
"824",-82.9000751,32.1656221
"825",NA,NA
"826",-74.0059728,40.7127753
"827",-84.3879824,33.7489954
"828",-80.1917902,25.7616798
"829",-119.4179324,36.778261
"830",-95.712891,37.09024
"831",-78.6381787,35.7795897
"832",-93.2650108,44.977753
